RTkey,longitude,latitude,x,y,altitude,speed_x_component,speed_y_component,course,speed,alt_speed,relative_bearing_to_exit_point,alt_diff_wrt_exit_point,h_diff_wrt_exit_point,timestamp,flight_phase
4803459,0.4029309682417836,42.08287523866343,938209.1211259807,838850.1983436451,37000.0,-31.828649986324553,-226.69677622609484,187.99219165164118,228.92027282714844,0.0,-3.25239903939422,4844.579577192115,211433.890625,1547541240,cruising
4803463,0.4230272793057436,42.154330238824784,939503.6557277251,846851.1016799838,41000.0,-31.029939817881573,-226.19155316348662,187.81132558174215,228.31004333496094,0.0,-12.686000309767564,0.0,378354.6875,1547541240,cruising
4803477,0.5008671426695929,42.41390533089919,944573.4224077938,875940.5786703709,37000.0,-19.476927665118886,-232.4721268253985,184.78915741737154,233.28660583496094,0.0,-6.2275865055895565,4844.579577192115,249055.265625,1547541240,cruising
4803288,-0.6771407547664393,38.55129335078441,862184.9259442076,443767.67564395466,36000.0,-42.42933250941189,-229.14547861883958,190.49026453584563,233.04055146830413,0.0,-35.01887564788714,1000.0,105056.796875,1547541240,cruising
4803215,-1.4828332023141668,36.789975120560754,796874.851594212,246353.90393262007,38000.0,-57.26624186310601,-220.35723665942209,194.56772793649313,227.67681964859818,0.0,179.99718484885085,5844.579577192115,397918.75,1547541270,unknown
4803226,-1.4126669833137657,37.065538934887286,802357.3664746843,277088.801464134,38000.0,-57.984299577004286,-218.4360369851192,194.86642679976515,226.00106471253656,0.0,193.62679443874478,1000.0,215412.21875,1547541270,cruising
4803245,-0.6804213574506675,37.48755764334643,865880.015094273,325824.50916468306,36000.0,-31.699846879338477,-225.0388175945962,188.01815128581325,227.2605326856105,0.0,182.20829410480243,3844.579577192115,307228.6875,1547541270,descending
4803270,-1.181092982784206,38.53255283690627,818371.1734177849,440331.7017364373,45000.0,227.42410117869824,105.92358268021317,65.02608315115106,250.88150024414062,0.0,8.404837518136787,7271.701654769975,171785.5,1547541270,cruising
4803280,0.796751728478107,39.44120614353562,985479.9024975225,547730.1571249603,34000.0,218.40287102408254,-24.0956144221553,96.29577868252233,219.72804260253906,0.0,5.524216629968407,0.0,86369.3984375,1547541270,cruising
4803286,-0.6866366464022569,38.355122883858364,862090.7824435605,421994.4921436107,38000.0,-38.747593412253394,-232.20550413232223,189.47352769919493,235.4161679761762,0.0,180.01765015462504,5825.765763561951,212366.109375,1547541270,descending
4803302,-0.6771169185697907,40.95612326551203,853179.8578955985,710325.8578218807,37000.0,-211.5469238499153,-46.051245565644216,257.7189901217008,216.50131225585938,0.0,63.45842977254725,4906.3105464584005,6980.65869140625,1547541270,cruising
4803309,-0.4726185931507241,40.92481689388998,870494.1388815474,707455.7123378583,33000.0,-209.02302106823552,-62.69915189766125,253.30270586171002,218.22421264648438,0.0,-5.131031038742833,1635.4368488194668,19428.36328125,1547541270,cruising
4803311,-0.3826521454314806,38.945615521635496,886196.9556532473,488378.04027267406,39000.0,-34.40318758338643,-233.56092712680535,188.37933062243562,236.0811004638672,0.0,184.06996679398256,6844.579577192115,143502.71875,1547541270,descending
4803319,-0.5318987980373092,40.975927725413385,865308.4821738508,712943.9303929816,35000.0,-226.86650149265097,-49.29480951662928,257.7410129761566,232.16026306152344,0.0,21.862854622668806,2906.3105464584005,16727.958984375,1547541270,cruising
4803322,-0.2861321610396145,39.13652379605429,893742.5996518622,509848.51249602967,37000.0,-30.70109404881587,-233.24279667257633,187.49857471407967,235.25466918945312,0.0,185.9738648361923,4844.579577192115,121669.625,1547541270,descending
4803335,0.04279650801104682,41.328319015825386,911957.5865800974,753872.5909310672,36000.0,227.24029485332213,42.11098650819629,79.5013438059467,231.1092529296875,0.0,-5.441068962801182,0.0,38115.44921875,1547541270,cruising
4803344,-0.31420920264431396,41.3520669976187,882020.6930914862,755316.0486408088,36100.0,228.77099624967946,6.625335362364393,88.34114600447276,228.86691284179688,16.666666666666668,-0.042029122827443643,100.0,67930.9921875,1547541270,cruising
4803354,1.0880832377969443,39.56834781199459,1009742.850272825,563110.2376642982,39000.0,-220.90201888551462,-46.33709196791753,258.1532216424437,225.70960998535156,0.0,-15.674542480842547,5509.312466923919,187381.515625,1547541270,cruising
4803374,-0.13303963555936088,39.740965144158935,904282.5543568999,577341.5776938597,33000.0,-162.2204224404672,-165.018716248058,224.51006313651828,231.40147399902344,0.0,-4.3761103900441185,6000.0,129100.546875,1547541270,cruising
4803375,-0.04572089563592158,40.211277304089286,909621.8563743585,629758.1401546977,41000.0,-31.04114424781428,-225.77328202824825,187.82840850406362,227.89718627929688,0.0,-89.90571781118584,8844.579577192115,12757.919921875,1547541270,descending
4803393,0.2988689988023465,40.17991599913541,939051.9750888785,627537.002081556,34000.0,-164.51196258579523,-169.2849217366131,224.18078390712705,236.05416870117188,23.333333333333332,-0.16460529539861568,3000.0,188895.25,1547541270,climbing
4803397,0.1230899070963757,40.66237365360303,921825.267210322,680345.1526302323,37000.0,-26.436799770421672,-233.09018610803446,186.4707645434493,234.58460998535156,0.0,-20.477755138206845,4844.579577192115,54823.1171875,1547541270,cruising
